sweep_id:  minidev500_20260713_123213_gemini-2_5-flash
model:     gemini-2.5-flash
replicas:  [3, 10, 25]
policy:    P0_parallel (independent replicas, best_of_n coordination)

=== 3 replicas ===
/workspaces/Cursor Agent Database Optimisation/.venv/bin/python3 -u /workspaces/Cursor Agent Database Optimisation/scripts/run_parallel_batch.py --model gemini-2.5-flash --replicas 3 --policy best_of_n --batch-id minidev500_20260713_123213_gemini-2_5-flash_baseline_r3 --limit 0
batch_id:     minidev500_20260713_123213_gemini-2_5-flash_baseline_r3
model:        gemini-2.5-flash
replicas:     3
policy:       best_of_n
early_stop:   False
shared_cache: False
discovery:    False
semantic:     False
prompt_cache: False
schema_prune: False (keyword)
db_profile:   False
suppressor:   False
schedule:     {'base_temperature': 0.0, 'temperature_mode': 'uniform', 'temperature_step': 0.2, 'stagger_mode': 'none', 'stagger_seconds': 0.0, 'stagger_turns': 0, 'stagger_poll_seconds': 1.0}
tasks:        500
output:       /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_20260713_123213_gemini-2_5-flash_baseline_r3_gemini-2.5-flash_r3_best_of_n.json

[1/500] question_id=1471 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[2/500] question_id=1472 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[3/500] question_id=1473 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[4/500] question_id=1476 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[5/500] question_id=1479 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[6/500] question_id=1480 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[7/500] question_id=1481 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[8/500] question_id=1482 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[9/500] question_id=1483 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[10/500] question_id=1484 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[11/500] question_id=1486 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[12/500] question_id=1490 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[13/500] question_id=1493 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[14/500] question_id=1498 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[15/500] question_id=1500 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[16/500] question_id=1501 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[17/500] question_id=1505 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[18/500] question_id=1506 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[19/500] question_id=1507 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[20/500] question_id=1509 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[21/500] question_id=1514 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[22/500] question_id=1515 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[23/500] question_id=1521 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[24/500] question_id=1524 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[25/500] question_id=1525 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[26/500] question_id=1526 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[27/500] question_id=1528 (simple) x3 ...
