sweep_id:  minidev500_r3_20260713_123516_deepseek-v3_2
model:     deepseek-v3.2
replicas:  [3]
policy:    P0_parallel (independent replicas, best_of_n coordination)

=== 3 replicas ===
/workspaces/Cursor Agent Database Optimisation/.venv/bin/python3 -u /workspaces/Cursor Agent Database Optimisation/scripts/run_parallel_batch.py --model deepseek-v3.2 --replicas 3 --policy best_of_n --batch-id minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3 --limit 0
batch_id:     minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3
model:        deepseek-v3.2
replicas:     3
policy:       best_of_n
early_stop:   False
shared_cache: False
discovery:    False
semantic:     False
prompt_cache: False
schema_prune: False (keyword)
db_profile:   False
suppressor:   False
schedule:     {'base_temperature': 0.0, 'temperature_mode': 'uniform', 'temperature_step': 0.2, 'stagger_mode': 'none', 'stagger_seconds': 0.0, 'stagger_turns': 0, 'stagger_poll_seconds': 1.0}
tasks:        500
output:       /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3_deepseek-v3.2_r3_best_of_n.json

[1/500] question_id=1471 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[2/500] question_id=1472 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[3/500] question_id=1473 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[4/500] question_id=1476 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[5/500] question_id=1479 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[6/500] question_id=1480 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[7/500] question_id=1481 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[8/500] question_id=1482 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[9/500] question_id=1483 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[10/500] question_id=1484 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[11/500] question_id=1486 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[12/500] question_id=1490 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[13/500] question_id=1493 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[14/500] question_id=1498 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[15/500] question_id=1500 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[16/500] question_id=1501 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[17/500] question_id=1505 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[18/500] question_id=1506 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[19/500] question_id=1507 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[20/500] question_id=1509 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[21/500] question_id=1514 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[22/500] question_id=1515 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[23/500] question_id=1521 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[24/500] question_id=1524 (simple) x3 ...
  -> EX=1 (2/3 replicas correct)

[25/500] question_id=1525 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[26/500] question_id=1526 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[27/500] question_id=1528 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[28/500] question_id=1529 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[29/500] question_id=1531 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[30/500] question_id=1533 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[31/500] question_id=1312 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[32/500] question_id=1317 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[33/500] question_id=1322 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[34/500] question_id=1323 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[35/500] question_id=1331 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[36/500] question_id=1334 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[37/500] question_id=1338 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[38/500] question_id=1339 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[39/500] question_id=1340 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[40/500] question_id=1344 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[41/500] question_id=1346 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[42/500] question_id=1350 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[43/500] question_id=1351 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[44/500] question_id=1352 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[45/500] question_id=1356 (simple) x3 ...
  -> EX=1 (2/3 replicas correct)

[46/500] question_id=1357 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[47/500] question_id=1359 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[48/500] question_id=1361 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[49/500] question_id=1362 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[50/500] question_id=1368 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[51/500] question_id=1371 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[52/500] question_id=1375 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[53/500] question_id=1376 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[54/500] question_id=1378 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[55/500] question_id=1380 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[56/500] question_id=1381 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[57/500] question_id=1387 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[58/500] question_id=1389 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[59/500] question_id=1390 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[60/500] question_id=1392 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[61/500] question_id=1394 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[62/500] question_id=1398 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[63/500] question_id=1399 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[64/500] question_id=1401 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[65/500] question_id=1403 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[66/500] question_id=1404 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[67/500] question_id=1405 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[68/500] question_id=1409 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[69/500] question_id=1410 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[70/500] question_id=1411 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[71/500] question_id=1422 (simple) x3 ...
  -> EX=1 (2/3 replicas correct)

[72/500] question_id=1426 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[73/500] question_id=1427 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[74/500] question_id=1432 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[75/500] question_id=1435 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[76/500] question_id=1457 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[77/500] question_id=1460 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[78/500] question_id=1464 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[79/500] question_id=1149 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[80/500] question_id=1150 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[81/500] question_id=1152 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[82/500] question_id=1153 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[83/500] question_id=1155 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[84/500] question_id=1156 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[85/500] question_id=1157 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[86/500] question_id=1162 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[87/500] question_id=1164 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[88/500] question_id=1166 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[89/500] question_id=1168 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[90/500] question_id=1169 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[91/500] question_id=1171 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[92/500] question_id=1175 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[93/500] question_id=1179 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[94/500] question_id=1185 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[95/500] question_id=1187 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[96/500] question_id=1189 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[97/500] question_id=1192 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

