=== gpt-4o-mini started 2026-06-16T15:24:00Z ===
batch_id:     p1_r10_bo
model:        gpt-4o-mini
replicas:     10
policy:       best_of_n
early_stop:   False
shared_cache: True
tasks:        50
output:       /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_p1_r10_bo_gpt-4o-mini_r10_best_of_n_p1_cache.json

[1/50] question_id=1471 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[2/50] question_id=1472 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[3/50] question_id=1473 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[4/50] question_id=1476 (challenging) x10 ...
  -> EX=0 (0/10 replicas correct)

[5/50] question_id=1479 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[6/50] question_id=1480 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[7/50] question_id=1481 (challenging) x10 ...
  -> EX=0 (0/10 replicas correct)

[8/50] question_id=1482 (challenging) x10 ...
  LLM retry 1 in 1.3s (APITimeoutError: Request timed out.)
  LLM retry 1 in 1.4s (APITimeoutError: Request timed out.)
  LLM retry 2 in 2.4s (APITimeoutError: Request timed out.)
  -> EX=0 (0/10 replicas correct)

[9/50] question_id=1483 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[10/50] question_id=1484 (simple) x10 ...
  -> EX=0 (0/10 replicas correct)

[11/50] question_id=1486 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[12/50] question_id=1490 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[13/50] question_id=1493 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[14/50] question_id=1498 (simple) x10 ...
  -> EX=0 (0/10 replicas correct)

[15/50] question_id=1500 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[16/50] question_id=1501 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[17/50] question_id=1505 (simple) x10 ...
  -> EX=0 (0/10 replicas correct)

[18/50] question_id=1506 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[19/50] question_id=1507 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[20/50] question_id=1509 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[21/50] question_id=1514 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[22/50] question_id=1515 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[23/50] question_id=1521 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[24/50] question_id=1524 (simple) x10 ...
  -> EX=1 (6/10 replicas correct)

[25/50] question_id=1525 (simple) x10 ...
  -> EX=0 (0/10 replicas correct)

[26/50] question_id=1526 (challenging) x10 ...
  -> EX=0 (0/10 replicas correct)

[27/50] question_id=1528 (simple) x10 ...
  -> EX=1 (1/10 replicas correct)

[28/50] question_id=1529 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[29/50] question_id=1531 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[30/50] question_id=1533 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[31/50] question_id=1312 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[32/50] question_id=1317 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[33/50] question_id=1322 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[34/50] question_id=1323 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[35/50] question_id=1331 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[36/50] question_id=1334 (simple) x10 ...
  -> EX=0 (0/10 replicas correct)

[37/50] question_id=1338 (moderate) x10 ...
  -> EX=0 (0/10 replicas correct)

[38/50] question_id=1339 (challenging) x10 ...
  -> EX=1 (10/10 replicas correct)

[39/50] question_id=1340 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[40/50] question_id=1344 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[41/50] question_id=1346 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[42/50] question_id=1350 (moderate) x10 ...
  -> EX=1 (9/10 replicas correct)

[43/50] question_id=1351 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[44/50] question_id=1352 (moderate) x10 ...
  -> EX=1 (10/10 replicas correct)

[45/50] question_id=1356 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[46/50] question_id=1357 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[47/50] question_id=1359 (challenging) x10 ...
  -> EX=1 (10/10 replicas correct)

[48/50] question_id=1361 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

[49/50] question_id=1362 (simple) x10 ...
  -> EX=1 (2/10 replicas correct)

[50/50] question_id=1368 (simple) x10 ...
  -> EX=1 (10/10 replicas correct)

Parallel batch p1_r10_bo
  Tasks:      50 / 50
  EX:         62.0%
  Avg overhead ratio: 10.551
  Avg explore redundancy: 78.12%

Wrote /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_p1_r10_bo_gpt-4o-mini_r10_best_of_n_p1_cache.json
Wrote /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_p1_r10_bo_gpt-4o-mini_r10_best_of_n_p1_cache.csv
